"game_id","exposure","outcome","field_location","wind_new","temp_new","surface_new","roof_new","def_team_rating","off_team_rating","spread_line_new"
"2017_06_PIT_KC",1,0,1,14,60,1,1,1,1,3.5
"2017_11_KC_NYG",1,0,0,23,50,0,1,2,1,10
"2017_12_BUF_KC",1,0,1,9,62,1,1,1,1,8.5
"2017_13_KC_NYJ",1,0,0,0,48,0,1,2,1,3.5
"2017_15_LAC_KC",1,1,1,9,53,1,1,1,1,1
"2017_16_MIA_KC",1,1,1,15,23,1,1,2,1,11
"2017_17_KC_DEN",1,1,0,4,17,1,1,2,1,-3
"2017_01_KC_NE",0,1,0,8,63,0,1,1,1,-8
"2017_02_PHI_KC",0,1,1,7,68,1,1,1,1,4
"2017_04_WAS_KC",0,1,1,14,82,1,1,2,1,6.5
"2017_05_KC_HOU",0,1,0,9,89,0,0,2,1,2
"2017_07_KC_OAK",0,0,0,1,62,1,1,2,1,3
"2017_08_DEN_KC",0,1,1,12,44,1,1,2,1,7
"2017_14_OAK_KC",0,1,1,13,46,1,1,2,1,4.5
"2018_03_SF_KC",1,1,1,4,70,1,1,2,1,6
"2018_04_KC_DEN",1,1,0,5,65,1,1,1,1,3.5
"2018_07_CIN_KC",1,1,1,10,59,1,1,2,1,6.5
"2018_08_DEN_KC",1,1,1,12,56,1,1,1,1,8.5
"2018_13_KC_OAK",1,1,0,6,57,1,1,2,1,14
"2018_14_BAL_KC",1,1,1,0,27,1,1,1,1,6.5
"2018_16_KC_SEA",1,0,0,8,43,0,1,1,1,1
"2018_17_OAK_KC",1,1,1,15,45,1,1,2,1,14.5
"2018_01_KC_LAC",0,1,0,8,84,1,1,1,1,-3.5
"2018_02_KC_PIT",0,1,0,10,80,1,1,1,1,-4.5
"2018_05_JAX_KC",0,1,1,5,58,1,1,1,1,3
"2018_09_KC_CLE",0,1,0,16,53,1,1,2,1,7.5
"2018_10_ARI_KC",0,1,1,5,43,1,1,2,1,16.5
"2018_15_LAC_KC",0,0,1,5,39,1,1,1,1,3.5
"2019_03_BAL_KC",1,1,1,3,71,0,1,1,1,4.5
"2019_05_IND_KC",1,0,1,3,59,0,1,2,1,10.5
"2019_07_KC_DEN",1,1,0,6,75,1,1,1,1,3
"2019_09_MIN_KC",1,1,1,15,54,0,1,1,1,-5.5
"2019_10_KC_TEN",1,0,0,9,63,1,1,1,1,5
"2019_13_OAK_KC",1,1,1,20,36,0,1,2,1,11.5
"2019_14_KC_NE",1,1,0,8,32,1,1,1,1,-3
"2019_01_KC_JAX",0,1,0,6,91,1,1,2,1,3.5
"2019_02_KC_OAK",0,1,0,13,70,1,1,2,1,7
"2019_06_HOU_KC",0,0,1,2,56,0,1,2,1,3.5
"2019_08_GB_KC",0,0,1,5,54,0,1,1,1,-5
"2019_11_KC_LAC",0,1,0,7,67,1,1,1,1,5.5
"2019_15_DEN_KC",0,1,1,8,24,0,1,1,1,10
"2019_16_KC_CHI",0,1,0,10,45,1,1,1,1,6.5
"2019_17_LAC_KC",0,1,1,16,40,0,1,1,1,10
"2020_01_HOU_KC",1,1,1,7,56,1,1,2,1,9.5
"2020_02_KC_LAC",1,1,0,9,75,0,0,2,1,8.5
"2020_03_KC_BAL",1,1,0,8,73,1,1,1,1,-3.5
"2020_05_LV_KC",1,0,1,16,80,0,1,2,1,11
"2020_06_KC_BUF",1,1,0,6,51,0,1,1,1,5.5
"2020_08_NYJ_KC",1,1,1,11,52,0,1,2,1,20
"2020_11_KC_LV",1,1,0,1,66,1,0,2,1,7.5
"2020_14_KC_MIA",1,1,0,8,81,1,1,1,1,7.5
"2020_16_ATL_KC",1,1,1,8,49,0,1,2,1,11
"2020_17_LAC_KC",1,0,1,6,35,0,1,2,1,-7
"2020_04_NE_KC",0,1,1,14,73,0,1,1,1,7
"2020_07_KC_DEN",0,1,0,11,14,1,1,2,1,7
"2020_09_CAR_KC",0,1,1,19,71,0,1,2,1,10
"2020_12_KC_TB",0,1,0,5,81,1,1,1,1,3.5
"2020_13_DEN_KC",0,1,1,9,41,0,1,2,1,13
"2020_15_KC_NO",0,1,0,5,60,0,0,1,1,2.5
"2021_10_KC_LV",1,1,0,0,72,1,0,2,1,2.5
"2021_15_KC_LAC",1,1,0,5,54,0,0,2,1,3
"2021_16_PIT_KC",1,1,1,23,57,1,1,2,1,10.5
"2021_17_KC_CIN",1,0,0,9,33,0,1,1,1,3.5
"2021_18_KC_DEN",1,1,0,8,44,1,1,1,1,11.5
"2021_02_KC_BAL",0,0,0,2,73,1,1,2,1,3.5
"2022_03_KC_IND",1,0,0,8,65,0,1,2,1,4.5
"2022_04_KC_TB",1,1,0,7,75,1,1,1,1,-1
"2022_06_BUF_KC",1,0,1,15,62,1,1,1,1,-2.5
"2022_09_TEN_KC",1,1,1,14,58,1,1,1,1,14
"2022_10_JAX_KC",1,1,1,9,33,1,1,1,1,10
"2022_13_KC_CIN",1,0,0,6,41,0,1,1,1,2.5
"2022_16_SEA_KC",1,1,1,15,12,1,1,2,1,10.5
"2022_17_DEN_KC",1,1,1,8,53,1,1,1,1,13.5
"2022_02_LAC_KC",0,1,1,13,81,1,1,2,1,4
"2022_05_LV_KC",0,1,1,5,77,1,1,2,1,7.5
"2022_11_KC_LAC",0,1,0,6,67,0,0,2,1,5.5
"2022_12_LA_KC",0,1,1,10,44,1,1,2,1,16.5
"2022_14_KC_DEN",0,1,0,15,62,1,1,1,1,8.5
