"game_id","exposure","outcome","field_location","wind_new","temp_new","surface_new","roof_new","def_team_rating","off_team_rating","spread_line_new"
"2016_07_OAK_JAX",0,0,1,6,70,1,1,2,2,1.5
"2016_16_TEN_JAX",0,1,1,5,67,1,1,2,2,-4
"2016_17_JAX_IND",0,0,0,6,39,0,0,2,2,-5.5
"2017_01_JAX_HOU",1,1,0,10,80,0,1,2,1,-5.5
"2017_03_BAL_JAX",1,1,1,10,70,1,1,1,1,-3
"2017_06_LA_JAX",1,0,1,10,88,1,1,1,1,1
"2017_07_JAX_IND",1,1,0,17,72,0,0,2,1,3
"2017_10_LAC_JAX",1,1,1,5,76,1,1,1,1,5
"2017_11_JAX_CLE",1,1,0,16,38,1,1,2,1,7.5
"2017_13_IND_JAX",1,1,1,7,70,1,1,2,1,10
"2017_16_JAX_SF",1,0,0,1,52,1,1,2,1,4
"2017_02_TEN_JAX",0,0,1,10,84,1,1,2,1,-1
"2017_04_JAX_NYJ",0,0,0,5,64,0,1,2,1,4
"2017_05_JAX_PIT",0,1,0,9,73,1,1,1,1,-7.5
"2017_09_CIN_JAX",0,1,1,12,78,1,1,2,1,6
"2017_14_SEA_JAX",0,1,1,5,54,1,1,1,1,3
"2017_15_HOU_JAX",0,1,1,5,72,1,1,2,1,10.5
"2017_17_JAX_TEN",0,0,0,5,23,1,1,2,1,-2.5
"2018_03_TEN_JAX",1,0,1,10,89,1,1,1,2,10
"2018_04_NYJ_JAX",1,1,1,10,86,1,1,2,2,7.5
"2018_05_JAX_KC",1,0,0,5,58,1,1,2,2,-3
"2018_07_HOU_JAX",1,0,1,15,68,1,1,2,2,4
"2018_08_PHI_JAX",1,0,1,12,48,1,1,1,2,-4
"2018_10_JAX_IND",1,0,0,10,38,0,0,1,2,-3
"2018_14_JAX_TEN",1,0,0,5,44,1,1,1,2,-5.5
"2018_01_JAX_NYG",0,1,0,7,59,0,1,2,2,2.5
"2018_02_NE_JAX",0,1,1,15,97,1,1,1,2,-2
"2018_11_PIT_JAX",0,0,1,8,73,1,1,1,2,-4
"2018_12_JAX_BUF",0,0,0,12,44,0,1,2,2,3
"2018_13_IND_JAX",0,1,1,13,78,1,1,1,2,-4
"2018_15_WAS_JAX",0,0,1,12,64,1,1,1,2,7.5
"2018_16_JAX_MIA",0,1,0,9,73,1,1,2,2,-3
"2018_17_JAX_HOU",0,0,0,6,46,0,0,2,2,-7
"2019_02_JAX_HOU",1,0,0,10,89,1,0,2,2,-7.5
"2019_03_TEN_JAX",1,1,1,9,73,1,1,1,2,-1.5
"2019_04_JAX_DEN",1,1,0,14,87,1,1,1,2,-2.5
"2019_06_NO_JAX",1,0,1,3,81,1,1,1,2,2.5
"2019_07_JAX_CIN",1,1,0,2,70,1,1,2,2,4
"2019_09_HOU_JAX",1,0,1,6,53,1,1,2,2,1
"2019_11_JAX_IND",1,0,0,2,43,0,0,2,2,-2.5
"2019_12_JAX_TEN",1,0,0,9,52,1,1,1,2,-4.5
"2019_13_TB_JAX",1,0,1,15,77,1,1,2,2,-3
"2019_14_LAC_JAX",1,0,1,7,62,1,1,1,2,-3.5
"2019_15_JAX_OAK",1,1,0,7,59,1,1,2,2,-7
"2019_01_KC_JAX",0,0,1,6,91,1,1,1,2,-3.5
"2019_05_JAX_CAR",0,0,0,4,72,1,1,2,2,-3
"2019_08_NYJ_JAX",0,1,1,11,79,1,1,1,2,7
"2019_17_IND_JAX",0,1,1,6,74,1,1,2,2,-5
"2020_02_JAX_TEN",1,0,0,5,72,1,1,2,2,-7
"2020_03_MIA_JAX",1,0,1,12,81,1,1,1,2,3
"2020_04_JAX_CIN",1,0,0,6,64,1,1,2,2,-1
"2020_05_JAX_HOU",1,0,0,6,86,1,0,2,2,-6.5
"2020_06_DET_JAX",1,0,1,10,78,1,1,2,2,-3
"2020_07_JAX_LAC",1,0,0,9,68,0,0,2,2,-8
"2020_09_HOU_JAX",1,0,1,14,79,1,1,2,2,-7
"2020_10_JAX_GB",1,0,0,23,38,1,1,1,2,-13.5
