"game_id","exposure","outcome","field_location","wind_new","temp_new","surface_new","roof_new","def_team_rating","off_team_rating","spread_line_new"
"2016_09_IND_GB",0,1,0,"7",68,1,1,2,1,-7.5
"2017_01_IND_LA",1,0,0,"2",90,1,1,1,2,-3.5
"2017_06_IND_TEN",1,0,0,"7",57,1,1,2,2,-7
"2017_07_JAX_IND",1,0,1,"17",72,0,0,1,2,-3
"2017_08_IND_CIN",1,0,0,"9",39,0,1,2,2,-11
"2017_13_IND_JAX",1,0,0,"7",70,1,1,1,2,-10
"2017_14_IND_BUF",1,0,0,"15",32,0,1,1,2,-3.5
"2017_15_DEN_IND",1,0,1,"5",25,0,0,2,2,-3
"2017_16_IND_BAL",1,0,0,"14",63,1,1,1,2,-13.5
"2017_02_ARI_IND",0,0,1,"6",78,0,0,2,2,-7
"2017_03_CLE_IND",0,1,1,"5",83,0,0,2,2,1
"2017_04_IND_SEA",0,0,0,"8",61,0,1,1,2,-12.5
"2017_05_SF_IND",0,1,1,"12",68,0,0,2,2,-1
"2017_09_IND_HOU",0,1,0,"10",84,0,0,2,2,-6
"2017_10_PIT_IND",0,0,1,"5",42,0,0,1,2,-10.5
"2017_12_TEN_IND",0,0,1,"10",47,0,1,2,2,-3
"2017_17_HOU_IND",0,1,1,"7",9,0,0,2,2,5.5
"2018_03_IND_PHI",1,0,0,"5",61,1,1,1,1,-6.5
"2018_04_HOU_IND",1,0,1,"6",73,0,0,2,1,-1
"2018_05_IND_NE",1,0,0,"6",66,0,1,1,1,-10.5
"2018_06_IND_NYJ",1,0,0,"7",60,0,1,2,1,-2.5
"2018_07_BUF_IND",1,1,1,"3",44,0,0,2,1,7
"2018_12_MIA_IND",1,1,1,"11",57,0,0,2,1,9
"2018_13_IND_JAX",1,0,0,"13",78,1,1,1,1,4
"2018_17_IND_TEN",1,1,0,"4",53,1,1,1,1,5
"2018_01_CIN_IND",0,0,1,"11",59,0,0,2,1,-1
"2018_02_IND_WAS",0,1,0,"5",71,1,1,1,1,-6
"2018_08_IND_OAK",0,1,0,"8",69,1,1,2,1,3.5
"2018_10_JAX_IND",0,1,1,"10",38,0,0,1,1,3
"2018_11_TEN_IND",0,1,1,"7",42,0,0,1,1,2
"2018_14_IND_HOU",0,1,0,"9",46,0,0,2,1,-4
"2018_15_DAL_IND",0,1,1,"5",46,0,0,1,1,3
"2018_16_NYG_IND",0,1,1,"7",33,0,0,2,1,10
"2019_01_IND_LAC",1,0,0,"10",77,1,1,1,1,-6
"2019_02_IND_TEN",1,1,0,"1",93,1,1,1,1,-3
"2019_04_OAK_IND",1,0,1,"10",77,0,0,2,1,5.5
"2019_05_IND_KC",1,1,0,"3",59,0,1,1,1,-10.5
"2019_07_HOU_IND",1,1,1,"2",66,0,1,2,1,1.5
"2019_09_IND_PIT",1,0,0,"12",48,1,1,1,1,-1
"2019_10_MIA_IND",1,0,1,"8",59,0,0,2,1,11
"2019_11_JAX_IND",1,1,1,"2",43,0,0,2,1,2.5
"2019_12_IND_HOU",1,0,0,"9",75,1,0,2,1,-3.5
"2019_14_IND_TB",1,0,0,"9",78,1,1,2,1,-3
"2019_15_IND_NO",1,0,0,"10",73,0,0,1,1,-8
"2019_16_CAR_IND",1,1,1,"3",45,0,0,2,1,7.5
"2019_17_IND_JAX",1,0,0,"6",74,1,1,2,1,5
"2019_03_ATL_IND",0,1,1,"13",82,0,0,2,1,1
"2019_08_DEN_IND",0,1,1,"10",55,0,1,1,1,6
"2019_13_TEN_IND",0,0,1,"14",40,0,0,1,1,-1
"2020_01_IND_JAX",1,0,0,"3",80,1,1,2,1,7
"2020_02_MIN_IND",1,1,1,"13",65,0,0,2,1,3.5
"2020_03_NYJ_IND",1,1,1,"6",79,0,0,2,1,12.5
"2020_04_IND_CHI",1,1,0,"10",52,1,1,1,1,3.5
"2020_05_IND_CLE",1,0,0,"16",64,1,1,2,1,-1
"2020_09_BAL_IND",1,0,1,"4",76,0,0,1,1,1
"2020_10_IND_TEN",1,1,0,"6",56,1,1,2,1,1
"2020_11_GB_IND",1,1,1,"10",38,0,0,1,1,1.5
"2020_12_TEN_IND",1,0,1,"10",45,0,0,2,1,3
"2020_13_IND_HOU",1,1,0,"6",57,1,0,2,1,3.5
"2020_15_HOU_IND",1,1,1,"5",37,0,0,2,1,7.5
"2020_16_IND_PIT",1,0,0,"6",37,1,1,1,1,1
"2020_06_CIN_IND",0,1,1,"16",57,0,0,2,1,7.5
"2020_14_IND_LV",0,1,0,"6",48,1,0,2,1,2.5
